Aug 13 14:35:23.388 HYPERVISOR: Release 0.2.17-x86/Windows (tag 2017072410)
Aug 13 14:35:23.403 HYPERVISOR: Started on IP = 127.0.0.1, TCP port = 57291.
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor version 
Aug 13 14:35:23.630 HYPERVISOR: exec_cmd: hypervisor working_dir C:\Users\freet\Desktop\poftfolio\project-files\dynamips 
Aug 13 14:35:23.637 GENERAL: working_dir=C:\Users\freet\Desktop\poftfolio\project-files\dynamips
Aug 13 14:35:23.637 HYPERVISOR: exec_cmd: ethsw create Switch2 
Aug 13 14:35:26.566 HYPERVISOR: exec_cmd: nio create_udp udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 20008 127.0.0.1 20009 
Aug 13 14:35:26.566 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 
Aug 13 14:35:26.582 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:35:26.625 HYPERVISOR: exec_cmd: nio create_udp udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 20010 127.0.0.1 20011 
Aug 13 14:35:26.625 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 
Aug 13 14:35:26.645 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:35:26.677 HYPERVISOR: exec_cmd: nio create_udp udp-30e52f03-a983-4c07-a0be-c70d97948a8a 20012 127.0.0.1 20013 
Aug 13 14:35:26.677 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 
Aug 13 14:35:26.709 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:35:26.756 HYPERVISOR: exec_cmd: nio create_udp udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 20014 127.0.0.1 20015 
Aug 13 14:35:26.756 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 
Aug 13 14:35:26.772 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:35:26.825 HYPERVISOR: exec_cmd: nio create_udp udp-0f21b298-a48f-457a-a1aa-e47a450465f7 20016 127.0.0.1 20017 
Aug 13 14:35:26.825 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 
Aug 13 14:35:26.837 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:35:26.885 HYPERVISOR: exec_cmd: nio create_udp udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 20018 127.0.0.1 20019 
Aug 13 14:35:26.901 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 
Aug 13 14:35:26.933 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
Aug 13 14:35:27.442 HYPERVISOR: exec_cmd: nio create_udp udp-d8e72132-77fa-4e17-a197-db33c644aa43 20034 127.0.0.1 20035 
Aug 13 14:35:27.442 HYPERVISOR: exec_cmd: ethsw add_nio Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 
Aug 13 14:35:27.474 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:35:37.542 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d8e72132-77fa-4e17-a197-db33c644aa43 1 
Aug 13 14:35:37.542 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-40a2c39d-784a-4d99-8d2e-49e51bd8dcd0 1 
Aug 13 14:35:37.569 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-f58fb996-ba56-48d4-8732-abf6dcf27da7 1 
Aug 13 14:35:37.600 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-30e52f03-a983-4c07-a0be-c70d97948a8a 1 
Aug 13 14:35:37.600 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-d3fabf06-9492-48ed-8b9a-08f48e2c7462 1 
Aug 13 14:35:37.632 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-0f21b298-a48f-457a-a1aa-e47a450465f7 1 
Aug 13 14:35:37.664 HYPERVISOR: exec_cmd: ethsw set_access_port Switch2 udp-ba33e68b-efe2-4789-acf4-81fbe61f0742 1 
